epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2524.06,2.37835,2.38785,2.65081,0.85098,0.88826,0.93635,0.72038,1.56644,1.10047,2.1448,0.00113898,0.00113898,0.00113898
43,2584.62,2.38143,2.35556,2.6313,0.83297,0.87163,0.92048,0.72265,1.53826,1.19646,2.101,0.00113191,0.00113191,0.00113191
44,2644.29,2.40951,2.30016,2.64324,0.89921,0.8883,0.94495,0.71836,1.61486,1.02734,2.14696,0.00112484,0.00112484,0.00112484
45,2700.8,2.39725,2.28833,2.63266,0.91083,0.87172,0.94501,0.7303,1.58679,1.06351,2.1516,0.00111776,0.00111776,0.00111776
46,2759.74,2.37007,2.30508,2.60733,0.90669,0.8517,0.94122,0.72856,1.60916,1.11237,2.14726,0.00111069,0.00111069,0.00111069
47,2816.58,2.37052,2.31003,2.61528,0.85785,0.8661,0.92247,0.70715,1.65486,1.1995,2.19094,0.00110362,0.00110362,0.00110362
48,2875.57,2.35781,2.25122,2.59905,0.86076,0.88474,0.93301,0.73741,1.52909,1.10514,2.09199,0.00109654,0.00109654,0.00109654
49,2934.81,2.36164,2.27718,2.62956,0.88413,0.86388,0.94556,0.73525,1.58791,1.08791,2.15237,0.00108947,0.00108947,0.00108947
50,2993.58,2.33455,2.19948,2.6093,0.834,0.88762,0.91991,0.70294,1.60174,1.16867,2.15084,0.0010824,0.0010824,0.0010824
51,3052.64,2.32389,2.21928,2.58494,0.88412,0.8553,0.9239,0.72062,1.55394,1.13628,2.11777,0.00107532,0.00107532,0.00107532
52,3110.63,2.28762,2.18231,2.55953,0.82328,0.91149,0.92427,0.71258,1.58955,1.10754,2.13851,0.00106825,0.00106825,0.00106825
53,3172.27,2.31077,2.21435,2.59096,0.90136,0.85044,0.9229,0.7234,1.51168,1.03903,2.09768,0.00106118,0.00106118,0.00106118
54,3232.37,2.30854,2.21741,2.56328,0.88082,0.90524,0.94269,0.74496,1.54492,0.97934,2.08962,0.0010541,0.0010541,0.0010541
55,3294.1,2.3175,2.19802,2.58639,0.89882,0.91361,0.95163,0.74811,1.51374,1.0315,2.10031,0.00104703,0.00104703,0.00104703
56,3354.02,2.27562,2.16832,2.56166,0.87445,0.88677,0.94699,0.75101,1.53437,1.02151,2.1001,0.00103995,0.00103995,0.00103995
57,3411.24,2.32019,2.16987,2.59016,0.88941,0.88295,0.94605,0.72309,1.61373,1.06798,2.17514,0.00103288,0.00103288,0.00103288
58,3467.92,2.26457,2.12674,2.55933,0.84063,0.90492,0.94563,0.73227,1.53871,1.03672,2.11246,0.00102581,0.00102581,0.00102581
59,3528.11,2.23579,2.14375,2.53538,0.92528,0.91128,0.96141,0.76116,1.46842,0.9796,2.07515,0.00101873,0.00101873,0.00101873
60,3587.31,2.26941,2.0876,2.54092,0.89006,0.92512,0.94773,0.74471,1.52016,0.96929,2.09733,0.00101166,0.00101166,0.00101166
61,3646.03,2.25866,2.12879,2.54037,0.90401,0.8889,0.94575,0.73594,1.52451,1.09155,2.10781,0.00100459,0.00100459,0.00100459
62,3705.62,2.25325,2.06989,2.52274,0.89014,0.89063,0.95198,0.74726,1.54042,0.99806,2.11701,0.000997513,0.000997513,0.000997513
63,3763.53,2.23579,2.04325,2.52506,0.89406,0.90995,0.95063,0.74057,1.50054,0.97358,2.10377,0.00099044,0.00099044,0.00099044
